relative_path	file_name	extension	size_bytes	source_archive	proposed_action	action_reason	potential_sensitive_information	potential_third_party_restriction
src/oips_repro/scoring.py	scoring.py	.py	18427	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/statistics.py	statistics.py	.py	25945	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/structure.py	structure.py	.py	13266	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
src/oips_repro/validation.py	validation.py	.py	37217	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/integration/test_data_release.py	test_data_release.py	.py	22554	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/integration/test_toy_reproduction.py	test_toy_reproduction.py	.py	9258	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/scientific/data/expected_summary.json	expected_summary.json	.json	5807	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/scientific/test_metrics_snapshot.py	test_metrics_snapshot.py	.py	6741	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/scientific/test_oips_snapshot.py	test_oips_snapshot.py	.py	9697	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/scientific/test_posthoc_snapshot.py	test_posthoc_snapshot.py	.py	5519	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_cli.py	test_cli.py	.py	3915	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_clustering.py	test_clustering.py	.py	26541	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_figures.py	test_figures.py	.py	19240	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_io.py	test_io.py	.py	1106	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_posthoc.py	test_posthoc.py	.py	16428	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_public_data_tables.py	test_public_data_tables.py	.py	2917	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_reference_bundle.py	test_reference_bundle.py	.py	4260	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_reports.py	test_reports.py	.py	3804	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_scoring.py	test_scoring.py	.py	6991	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_statistics.py	test_statistics.py	.py	7120	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_structure.py	test_structure.py	.py	8734	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
tests/unit/test_validation.py	test_validation.py	.py	21140	OIPS-reproducibility-v1.0.0-prepublication-9c2d0b9(1).zip	retain	scientific reproducibility or repository infrastructure	requires_scan	none_identified
